file,youtube_title,playlist,description
ch11-p1.mp4,[MEF W1.1 P1] Joint and Marginal Distributions,Week 1 — Probability & Inference,"Joint and Marginal Distributions — ASSIP Empirical Finance Camp. Part 1 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p2.mp4,[MEF W1.1 P2] Conditioning: Using What You Know,Week 1 — Probability & Inference,"Conditioning: Using What You Know — ASSIP Empirical Finance Camp. Part 2 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p3.mp4,[MEF W1.1 P3] Independence and Conditional Expectation,Week 1 — Probability & Inference,"Independence and Conditional Expectation — ASSIP Empirical Finance Camp. Part 3 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p4.mp4,[MEF W1.1 P4] The Law of Iterated Expectations,Week 1 — Probability & Inference,"The Law of Iterated Expectations — ASSIP Empirical Finance Camp. Part 4 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p5.mp4,[MEF W1.1 P5] The Law of Total Variance,Week 1 — Probability & Inference,"The Law of Total Variance — ASSIP Empirical Finance Camp. Part 5 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p6.mp4,"[MEF W1.1 P6] Sam's Risk Decomposition, Worked",Week 1 — Probability & Inference,"Sam's Risk Decomposition, Worked — ASSIP Empirical Finance Camp. Part 6 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p7.mp4,"[MEF W1.1 P7] Reading the Answer, and Proving the Law",Week 1 — Probability & Inference,"Reading the Answer, and Proving the Law — ASSIP Empirical Finance Camp. Part 7 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p8.mp4,[MEF W1.1 P8] Why These Two Laws Run Everything,Week 1 — Probability & Inference,"Why These Two Laws Run Everything — ASSIP Empirical Finance Camp. Part 8 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p1.mp4,[MEF W1.2 P1] Linearity of Expectation,Week 1 — Probability & Inference,"Linearity of Expectation — ASSIP Empirical Finance Camp. Part 1 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p2.mp4,[MEF W1.2 P2] Defining Variance and Covariance,Week 1 — Probability & Inference,"Defining Variance and Covariance — ASSIP Empirical Finance Camp. Part 2 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p3.mp4,[MEF W1.2 P3] The Variance Algebra You Will Use,Week 1 — Probability & Inference,"The Variance Algebra You Will Use — ASSIP Empirical Finance Camp. Part 3 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p4.mp4,[MEF W1.2 P4] Maya's Two-Asset Budget: Three Scenarios,Week 1 — Probability & Inference,"Maya's Two-Asset Budget: Three Scenarios — ASSIP Empirical Finance Camp. Part 4 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p5.mp4,[MEF W1.2 P5] The Minimum-Risk Blend,Week 1 — Probability & Inference,"The Minimum-Risk Blend — ASSIP Empirical Finance Camp. Part 5 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p6.mp4,[MEF W1.2 P6] Correlation as a Cosine,Week 1 — Probability & Inference,"Correlation as a Cosine — ASSIP Empirical Finance Camp. Part 6 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p7.mp4,[MEF W1.2 P7] Why |ρ| ≤ 1 Is Cauchy–Schwarz,Week 1 — Probability & Inference,"Why |ρ| ≤ 1 Is Cauchy–Schwarz — ASSIP Empirical Finance Camp. Part 7 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p8.mp4,[MEF W1.2 P8] The Covariance Matrix Σ,Week 1 — Probability & Inference,"The Covariance Matrix Σ — ASSIP Empirical Finance Camp. Part 8 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p1.mp4,[MEF W1.3 P1] Estimator Versus Estimate,Week 1 — Probability & Inference,"Estimator Versus Estimate — ASSIP Empirical Finance Camp. Part 1 of 7
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p2.mp4,[MEF W1.3 P2] Bias: Aiming at the Right Target,Week 1 — Probability & Inference,"Bias: Aiming at the Right Target — ASSIP Empirical Finance Camp. Part 2 of 7
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p3.mp4,[MEF W1.3 P3] Variance and the Standard Error,Week 1 — Probability & Inference,"Variance and the Standard Error — ASSIP Empirical Finance Camp. Part 3 of 7
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p4.mp4,[MEF W1.3 P4] Mean Squared Error and the Bias-Variance Tradeoff,Week 1 — Probability & Inference,"Mean Squared Error and the Bias-Variance Tradeoff — ASSIP Empirical Finance Camp. Part 4 of 7
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p5.mp4,[MEF W1.3 P5] Consistency: Getting It Right Eventually,Week 1 — Probability & Inference,"Consistency: Getting It Right Eventually — ASSIP Empirical Finance Camp. Part 5 of 7
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p6.mp4,[MEF W1.3 P6] Seeing the Sampling Distribution by Simulation,Week 1 — Probability & Inference,"Seeing the Sampling Distribution by Simulation — ASSIP Empirical Finance Camp. Part 6 of 7
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p7.mp4,"[MEF W1.3 P7] The Shape, and Where This Is Heading",Week 1 — Probability & Inference,"The Shape, and Where This Is Heading — ASSIP Empirical Finance Camp. Part 7 of 7
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p1.mp4,[MEF W1.4 P1] Stating the Law of Large Numbers,Week 1 — Probability & Inference,"Stating the Law of Large Numbers — ASSIP Empirical Finance Camp. Part 1 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p2.mp4,[MEF W1.4 P2] Why the Law of Large Numbers Works,Week 1 — Probability & Inference,"Why the Law of Large Numbers Works — ASSIP Empirical Finance Camp. Part 2 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p3.mp4,"[MEF W1.4 P3] Seeing the LLN, and Standardizing for the CLT",Week 1 — Probability & Inference,"Seeing the LLN, and Standardizing for the CLT — ASSIP Empirical Finance Camp. Part 3 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p4.mp4,[MEF W1.4 P4] Stating the Central Limit Theorem,Week 1 — Probability & Inference,"Stating the Central Limit Theorem — ASSIP Empirical Finance Camp. Part 4 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p5.mp4,[MEF W1.4 P5] Watching the Bell Emerge,Week 1 — Probability & Inference,"Watching the Bell Emerge — ASSIP Empirical Finance Camp. Part 5 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p6.mp4,[MEF W1.4 P6] Reading the Two Laws Together,Week 1 — Probability & Inference,"Reading the Two Laws Together — ASSIP Empirical Finance Camp. Part 6 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p7.mp4,[MEF W1.4 P7] Devon's Crypto Returns and Fat Tails,Week 1 — Probability & Inference,"Devon's Crypto Returns and Fat Tails — ASSIP Empirical Finance Camp. Part 7 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p8.mp4,[MEF W1.4 P8] The Hierarchy of Bad Behavior,Week 1 — Probability & Inference,"The Hierarchy of Bad Behavior — ASSIP Empirical Finance Camp. Part 8 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p9.mp4,"[MEF W1.4 P9] When the LLN Fails, and What Devon Should Do",Week 1 — Probability & Inference,"When the LLN Fails, and What Devon Should Do — ASSIP Empirical Finance Camp. Part 9 of 9
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p1.mp4,[MEF W1.5 P1] Hypothesis Testing: Sam's Trading Rule,Week 1 — Probability & Inference,"Hypothesis Testing: Sam's Trading Rule — ASSIP Empirical Finance Camp. Part 1 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p2.mp4,[MEF W1.5 P2] The Null and the Alternative,Week 1 — Probability & Inference,"The Null and the Alternative — ASSIP Empirical Finance Camp. Part 2 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p3.mp4,[MEF W1.5 P3] The Test Statistic: A Single Ruler,Week 1 — Probability & Inference,"The Test Statistic: A Single Ruler — ASSIP Empirical Finance Camp. Part 3 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p4.mp4,[MEF W1.5 P4] Deriving the t-Test,Week 1 — Probability & Inference,"Deriving the t-Test — ASSIP Empirical Finance Camp. Part 4 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p5.mp4,[MEF W1.5 P5] Size and Power: Two Ways to Be Wrong,Week 1 — Probability & Inference,"Size and Power: Two Ways to Be Wrong — ASSIP Empirical Finance Camp. Part 5 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p6.mp4,[MEF W1.5 P6] Four Levers and Power Made Concrete,Week 1 — Probability & Inference,"Four Levers and Power Made Concrete — ASSIP Empirical Finance Camp. Part 6 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p7.mp4,[MEF W1.5 P7] One-Sided vs. Two-Sided Tests,Week 1 — Probability & Inference,"One-Sided vs. Two-Sided Tests — ASSIP Empirical Finance Camp. Part 7 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
